Actual files generated - Train: 4000, Validation: 999
Total images after generation: 4999
Newly generated images: 0
         71743757 function calls (58335338 primitive calls) in 469.998 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       52    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
       27    0.000    0.000    0.001    0.000 <frozen ntpath>:107(join)
       65    0.000    0.000    0.000    0.000 <frozen ntpath>:179(splitroot)
        3    0.000    0.000    0.000    0.000 <frozen ntpath>:236(split)
        3    0.000    0.000    0.000    0.000 <frozen ntpath>:35(_get_bothseps)
       14    0.000    0.000    0.000    0.000 <frozen ntpath>:87(isabs)
        3    0.000    0.000    0.001    0.000 <frozen os>:200(makedirs)
        1    0.000    0.000  469.998  469.998 <string>:1(<module>)
       12    2.593    0.216   15.279    1.273 __init__.py:120(dump)
        1    0.000    0.000    0.000    0.000 __init__.py:274(load)
        1    0.000    0.000    0.000    0.000 __init__.py:299(loads)
        2    0.000    0.000    0.000    0.000 __init__.py:49(create_string_buffer)
        2    0.000    0.000    0.000    0.000 _base.py:144(__init__)
        2    0.000    0.000    0.000    0.000 _base.py:147(__enter__)
        2    0.000    0.000    0.000    0.000 _base.py:151(__exit__)
        2    0.000    0.000    0.000    0.000 _base.py:155(_create_and_install_waiters)
      102    0.000    0.000    0.001    0.000 _base.py:177(_yield_finished_futures)
    52/29    0.002    0.000   57.589    1.986 _base.py:199(as_completed)
        2    0.000    0.000    0.000    0.000 _base.py:223(<genexpr>)
       50    0.000    0.000    0.002    0.000 _base.py:328(__init__)
       50    0.000    0.000    0.000    0.000 _base.py:337(_invoke_callbacks)
       50    0.000    0.000    0.000    0.000 _base.py:398(__get_result)
       50    0.000    0.000    0.000    0.000 _base.py:428(result)
       50    0.000    0.000    0.000    0.000 _base.py:497(set_running_or_notify_cancel)
       50    0.001    0.000    0.003    0.000 _base.py:537(set_result)
        2    0.000    0.000    0.000    0.000 _base.py:61(__init__)
        2    0.000    0.000    0.000    0.000 _base.py:643(__enter__)
        2    0.000    0.000  678.951  339.476 _base.py:646(__exit__)
       50    0.000    0.000    0.000    0.000 _base.py:65(add_result)
        2    0.000    0.000    0.000    0.000 _base.py:77(__init__)
       50    0.001    0.000    0.002    0.000 _base.py:81(add_result)
       94    0.001    0.000    0.010    0.000 _monitor.py:47(get_instances)
        2    0.000    0.000    0.000    0.000 _monitor.py:94(report)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:110(remove)
       94    0.000    0.000    0.004    0.000 _weakrefset.py:120(update)
      192    0.000    0.000    0.000    0.000 _weakrefset.py:17(__init__)
      192    0.000    0.000    0.000    0.000 _weakrefset.py:21(__enter__)
      192    0.000    0.000    0.001    0.000 _weakrefset.py:27(__exit__)
       94    0.005    0.000    0.008    0.000 _weakrefset.py:37(__init__)
       20    0.000    0.000    0.000    0.000 _weakrefset.py:39(_remove)
      192    0.001    0.000    0.001    0.000 _weakrefset.py:53(_commit_removals)
      468    0.001    0.000    0.003    0.000 _weakrefset.py:63(__iter__)
      158    0.000    0.000    0.001    0.000 _weakrefset.py:85(add)
       94    0.000    0.000    0.009    0.000 _weakrefset.py:95(copy)
   182/62    0.867    0.005   10.416    0.168 connection.py:1010(_exhaustive_wait)
   182/58    0.021    0.000   10.420    0.180 connection.py:1032(wait)
      259    0.000    0.000    0.000    0.000 connection.py:1107(<genexpr>)
    56/34    0.000    0.000    0.002    0.000 connection.py:1161(reduce_pipe_connection)
       12    0.000    0.000    0.000    0.000 connection.py:118(__init__)
       12    0.000    0.000    0.000    0.000 connection.py:131(__del__)
      668    0.000    0.000    0.000    0.000 connection.py:135(_check_closed)
      234    0.000    0.000    0.000    0.000 connection.py:139(_check_readable)
      116    0.000    0.000    0.000    0.000 connection.py:143(_check_writable)
      112    0.000    0.000    0.000    0.000 connection.py:159(readable)
      112    0.000    0.000    0.000    0.000 connection.py:164(writable)
      318    0.000    0.000    0.000    0.000 connection.py:169(fileno)
       12    0.000    0.000    0.000    0.000 connection.py:174(close)
  116/110    0.002    0.000    0.646    0.006 connection.py:182(send_bytes)
       52    0.000    0.000    0.000    0.000 connection.py:208(recv_bytes)
       50    0.053    0.001    3.285    0.066 connection.py:246(recv)
  132/128    0.000    0.000    0.104    0.001 connection.py:253(poll)
       12    0.000    0.000    0.000    0.000 connection.py:277(_close)
  116/110    0.001    0.000    0.526    0.005 connection.py:284(_send_bytes)
      102    0.004    0.000    0.067    0.001 connection.py:310(_recv_bytes)
  132/128    0.004    0.000    0.103    0.001 connection.py:342(_poll)
       50    0.004    0.000    0.029    0.001 connection.py:348(_get_more_data)
      6/1    0.000    0.000    0.000    0.000 connection.py:552(Pipe)
        6    0.000    0.000    0.001    0.000 connection.py:70(arbitrary_address)
      2/1    0.000    0.000    0.000    0.000 context.py:110(SimpleQueue)
        8    0.000    0.000    0.000    0.000 context.py:187(get_context)
        8    0.000    0.000    0.000    0.000 context.py:197(get_start_method)
        2    0.000    0.000    0.000    0.000 context.py:237(get_context)
       14    0.000    0.000    0.000    0.000 context.py:253(get_start_method)
     14/2    0.000    0.000    0.016    0.008 context.py:334(_Popen)
      182    0.000    0.000    0.000    0.000 context.py:366(get_spawning_popen)
